lineup_id,participant_id,nplots,vis,rep,detected
L001,P12427,8,violin,97,no
L001,P14638,8,violin,98,no
L001,P9236,8,violin,99,no
L001,P13975,8,violin,100,yes
L001,P17921,8,violin,101,yes
L001,P17039,8,violin,102,yes
L001,P4469,8,violin,103,no
L001,P992,8,violin,104,yes
L001,P15515,8,violin,105,yes
L001,P7044,8,violin,106,yes
L001,P17345,8,violin,107,yes
L001,P13325,8,violin,108,yes
L001,P1734,8,violin,109,yes
L001,P3678,8,violin,110,yes
L001,P13397,8,violin,111,yes
L001,P10542,8,violin,112,yes
L001,P6695,8,violin,113,yes
L001,P12160,8,violin,114,no
L001,P10686,8,violin,115,yes
L001,P19085,8,violin,116,yes
L001,P15525,8,violin,117,no
L001,P7626,8,violin,118,no
L001,P17622,8,violin,119,yes
L001,P13982,8,violin,120,no
L002,P392,8,boxplot,1,no
L002,P7123,8,boxplot,2,no
L002,P16967,8,boxplot,3,no
L002,P5889,8,boxplot,4,no
L002,P12632,8,boxplot,5,no
L002,P20021,8,boxplot,6,yes
L002,P3925,8,boxplot,7,no
L002,P1237,8,boxplot,8,yes
L002,P8101,8,boxplot,9,yes
L002,P11389,8,boxplot,10,no
L002,P17477,8,boxplot,11,yes
L002,P20528,8,boxplot,12,yes
L002,P7596,8,boxplot,13,yes
L002,P8077,8,boxplot,14,no
L002,P1227,8,boxplot,15,yes
L002,P18104,8,boxplot,16,no
L002,P18357,8,boxplot,17,yes
L002,P227,8,boxplot,18,no
L002,P13523,8,boxplot,19,no
L002,P18617,8,boxplot,20,no
L002,P21591,8,boxplot,21,yes
L002,P14611,8,boxplot,22,no
L002,P12247,8,boxplot,23,no
L002,P21374,8,boxplot,24,yes
L002,P17166,8,boxplot,25,no
L002,P6815,8,boxplot,26,no
L002,P13782,8,boxplot,27,yes
L002,P5228,8,boxplot,28,yes
L002,P18710,8,boxplot,29,no
L002,P1811,8,boxplot,30,yes
L002,P3021,8,boxplot,31,no
L002,P6029,8,boxplot,32,yes
L002,P11869,8,boxplot,33,no
L002,P2233,8,boxplot,34,yes
L002,P2202,8,boxplot,35,yes
L002,P8131,8,boxplot,36,no
L002,P2343,8,boxplot,37,yes
L002,P17990,8,boxplot,38,yes
L002,P2628,8,boxplot,39,yes
L002,P5241,8,boxplot,40,yes
L002,P2726,8,boxplot,41,yes
L002,P9765,8,boxplot,42,yes
L002,P1065,8,boxplot,43,no
L002,P8531,8,boxplot,44,no
L002,P12195,8,boxplot,45,yes
L002,P2246,8,boxplot,46,yes
L002,P2227,8,boxplot,47,yes
L002,P7801,8,boxplot,48,yes
L002,P6824,8,boxplot,49,no
L002,P10904,8,boxplot,50,yes
L002,P13496,8,boxplot,51,no
L002,P12566,8,boxplot,52,no
L002,P5115,8,boxplot,53,yes
L002,P17599,8,boxplot,54,no
L002,P1257,8,boxplot,55,yes
L002,P12838,8,boxplot,56,no
L002,P7819,8,boxplot,57,no
L002,P9120,8,boxplot,58,yes
L002,P19777,8,boxplot,59,yes
L002,P2105,8,boxplot,60,yes
L002,P1560,8,boxplot,61,no
L002,P712,8,boxplot,62,no
L002,P12460,8,boxplot,63,yes
L002,P17288,8,boxplot,64,yes
L002,P17744,8,boxplot,65,no
L002,P19395,8,boxplot,66,no
L002,P240,8,boxplot,67,yes
L002,P10732,8,boxplot,68,no
L002,P11220,8,boxplot,69,yes
L002,P11292,8,boxplot,70,no
L002,P6471,8,boxplot,71,yes
L002,P2591,8,boxplot,72,yes
L002,P12127,8,boxplot,73,no
L002,P8914,8,boxplot,74,no
L002,P12258,8,boxplot,75,no
L002,P16811,8,boxplot,76,no
L002,P11249,8,boxplot,77,no
L002,P8017,8,boxplot,78,yes
L002,P6876,8,boxplot,79,no
L002,P18328,8,boxplot,80,yes
L002,P6063,8,boxplot,81,no
L002,P11866,8,boxplot,82,no
L002,P7616,8,boxplot,83,no
L002,P15995,8,boxplot,84,yes
L002,P17590,8,boxplot,85,no
L002,P20984,8,boxplot,86,yes
L002,P18154,8,boxplot,87,no
L002,P1822,8,boxplot,88,no
L002,P9076,8,boxplot,89,no
L002,P13723,8,boxplot,90,no
L002,P19406,8,boxplot,91,no
L002,P8905,8,boxplot,92,yes
L002,P9101,8,boxplot,93,no
L002,P18886,8,boxplot,94,yes
L002,P4144,8,boxplot,95,yes
L002,P11813,8,boxplot,96,no
L002,P7663,8,boxplot,97,yes
L002,P15303,8,boxplot,98,no
L002,P3133,8,boxplot,99,yes
L002,P2935,8,boxplot,100,no
L002,P3479,8,boxplot,101,yes
L002,P13566,8,boxplot,102,yes
L002,P19238,8,boxplot,103,no
L002,P2994,8,boxplot,104,yes
L002,P20465,8,boxplot,105,yes
L002,P11644,8,boxplot,106,no
L002,P19773,8,boxplot,107,yes
L002,P11061,8,boxplot,108,no
L002,P21200,8,boxplot,109,yes
L002,P9725,8,boxplot,110,no
L002,P9955,8,boxplot,111,no
L002,P20972,8,boxplot,112,no
L002,P6752,8,boxplot,113,yes
L002,P10516,8,boxplot,114,no
L002,P10998,8,boxplot,115,yes
L002,P9425,8,boxplot,116,yes
L002,P7083,8,boxplot,117,yes
L002,P18904,8,boxplot,118,no
L002,P9485,8,boxplot,119,no
L002,P17442,8,boxplot,120,no
L003,P15959,8,dotplot,1,yes
L003,P10159,8,dotplot,2,yes
L003,P5969,8,dotplot,3,no
L003,P7176,8,dotplot,4,yes
L003,P11255,8,dotplot,5,yes
L003,P3831,8,dotplot,6,yes
L003,P2323,8,dotplot,7,yes
L003,P7589,8,dotplot,8,no
L003,P2354,8,dotplot,9,no
L003,P16561,8,dotplot,10,no
L003,P18824,8,dotplot,11,yes
L003,P5875,8,dotplot,12,yes
L003,P8645,8,dotplot,13,yes
L003,P11318,8,dotplot,14,yes
L003,P4075,8,dotplot,15,yes
L003,P5066,8,dotplot,16,no
L003,P12890,8,dotplot,17,yes
L003,P13404,8,dotplot,18,yes
L003,P13220,8,dotplot,19,no
L003,P14396,8,dotplot,20,yes
L003,P6980,8,dotplot,21,yes
L003,P5872,8,dotplot,22,yes
L003,P7543,8,dotplot,23,no
L003,P12975,8,dotplot,24,no
L003,P16559,8,dotplot,25,yes
L003,P1331,8,dotplot,26,yes
L003,P11648,8,dotplot,27,no
L003,P5253,8,dotplot,28,yes
L003,P11110,8,dotplot,29,no
L003,P17537,8,dotplot,30,no
L003,P20679,8,dotplot,31,no
L003,P16985,8,dotplot,32,yes
L003,P16135,8,dotplot,33,yes
L003,P14049,8,dotplot,34,no
L003,P8588,8,dotplot,35,yes
L003,P076,8,dotplot,36,yes
L003,P2631,8,dotplot,37,no
L003,P9834,8,dotplot,38,yes
L003,P6873,8,dotplot,39,yes
L003,P11828,8,dotplot,40,no
L003,P13932,8,dotplot,41,no
L003,P19298,8,dotplot,42,no
L003,P3166,8,dotplot,43,no
L003,P13874,8,dotplot,44,yes
L003,P9771,8,dotplot,45,no
L003,P471,8,dotplot,46,no
L003,P13571,8,dotplot,47,yes
L003,P9745,8,dotplot,48,no
L003,P1340,8,dotplot,49,yes
L003,P12104,8,dotplot,50,yes
L003,P1114,8,dotplot,51,yes
L003,P18452,8,dotplot,52,yes
L003,P11139,8,dotplot,53,yes
L003,P1968,8,dotplot,54,yes
L003,P6002,8,dotplot,55,no
L003,P2776,8,dotplot,56,no
L003,P20086,8,dotplot,57,yes
L003,P13121,8,dotplot,58,yes
L003,P7736,8,dotplot,59,no
L003,P2529,8,dotplot,60,yes
L003,P17981,8,dotplot,61,no
L003,P10155,8,dotplot,62,yes
L003,P2509,8,dotplot,63,no
L003,P6550,8,dotplot,64,no
L003,P1543,8,dotplot,65,no
L003,P11081,8,dotplot,66,yes
L003,P19156,8,dotplot,67,yes
L003,P10763,8,dotplot,68,yes
L003,P1834,8,dotplot,69,yes
L003,P4905,8,dotplot,70,yes
L003,P12249,8,dotplot,71,yes
L003,P14212,8,dotplot,72,no
L003,P1269,8,dotplot,73,no
L003,P8582,8,dotplot,74,yes
L003,P6746,8,dotplot,75,yes
L003,P4762,8,dotplot,76,no
L003,P18387,8,dotplot,77,yes
L003,P2002,8,dotplot,78,yes
L003,P4585,8,dotplot,79,yes
L003,P13827,8,dotplot,80,yes
L003,P1470,8,dotplot,81,yes
L003,P8532,8,dotplot,82,yes
L003,P11476,8,dotplot,83,yes
L003,P317,8,dotplot,84,no
L003,P3550,8,dotplot,85,no
L003,P19816,8,dotplot,86,yes
L003,P4123,8,dotplot,87,yes
L003,P12179,8,dotplot,88,yes
L003,P12112,8,dotplot,89,yes
L003,P11597,8,dotplot,90,no
L003,P13394,8,dotplot,91,no
L003,P2921,8,dotplot,92,no
L003,P10174,8,dotplot,93,yes
L003,P19801,8,dotplot,94,yes
L003,P10868,8,dotplot,95,yes
L003,P11471,8,dotplot,96,yes
L003,P1947,8,dotplot,97,yes
L003,P7055,8,dotplot,98,yes
L003,P13340,8,dotplot,99,yes
L003,P19661,8,dotplot,100,no
L003,P8319,8,dotplot,101,yes
L003,P11401,8,dotplot,102,no
L003,P20636,8,dotplot,103,yes
L003,P20742,8,dotplot,104,no
L003,P2164,8,dotplot,105,yes
L003,P8974,8,dotplot,106,yes
L003,P8970,8,dotplot,107,yes
L003,P10856,8,dotplot,108,no
L003,P6826,8,dotplot,109,no
L003,P19626,8,dotplot,110,yes
L003,P262,8,dotplot,111,yes
L003,P21432,8,dotplot,112,yes
L003,P3988,8,dotplot,113,yes
L003,P20598,8,dotplot,114,no
L003,P18773,8,dotplot,115,no
L003,P20882,8,dotplot,116,yes
L003,P2111,8,dotplot,117,yes
L003,P17239,8,dotplot,118,yes
L003,P1636,8,dotplot,119,yes
L003,P7130,8,dotplot,120,yes
L004,P17328,8,violin,1,yes
L004,P15007,8,violin,2,yes
L004,P16724,8,violin,3,no
L004,P053,8,violin,4,yes
L004,P20965,8,violin,5,no
L004,P3875,8,violin,6,yes
L004,P1535,8,violin,7,yes
L004,P13801,8,violin,8,yes
L004,P4447,8,violin,9,yes
L004,P6602,8,violin,10,yes
L004,P13611,8,violin,11,no
L004,P5102,8,violin,12,yes
L004,P19519,8,violin,13,no
L004,P8164,8,violin,14,yes
L004,P5535,8,violin,15,yes
L004,P16183,8,violin,16,yes
L004,P4860,8,violin,17,yes
L004,P9587,8,violin,18,yes
L004,P15965,8,violin,19,no
L004,P3317,8,violin,20,no
L004,P21166,8,violin,21,yes
L004,P20801,8,violin,22,no
L004,P3721,8,violin,23,yes
L004,P19910,8,violin,24,no
L004,P7524,8,violin,25,yes
L004,P12791,8,violin,26,no
L004,P5614,8,violin,27,no
L004,P19287,8,violin,28,no
L004,P14181,8,violin,29,yes
L004,P16396,8,violin,30,no
L004,P16502,8,violin,31,yes
L004,P3908,8,violin,32,no
L004,P4854,8,violin,33,no
L004,P1388,8,violin,34,yes
L004,P5436,8,violin,35,yes
L004,P9516,8,violin,36,yes
L004,P9561,8,violin,37,no
L004,P11895,8,violin,38,yes
L004,P10358,8,violin,39,yes
L004,P3722,8,violin,40,yes
L004,P5192,8,violin,41,yes
L004,P4763,8,violin,42,yes
L004,P9752,8,violin,43,yes
L004,P20971,8,violin,44,no
L004,P2014,8,violin,45,no
L004,P17787,8,violin,46,yes
L004,P8202,8,violin,47,yes
L004,P12593,8,violin,48,yes
L004,P7640,8,violin,49,yes
L004,P4707,8,violin,50,no
L004,P10179,8,violin,51,no
L004,P17887,8,violin,52,yes
L004,P1347,8,violin,53,no
L004,P9099,8,violin,54,yes
L004,P11762,8,violin,55,yes
L004,P11745,8,violin,56,yes
L004,P13485,8,violin,57,no
L004,P15150,8,violin,58,yes
L004,P13014,8,violin,59,yes
L004,P16855,8,violin,60,yes
L004,P7644,8,violin,61,no
L004,P11315,8,violin,62,no
L004,P17054,8,violin,63,yes
L004,P13763,8,violin,64,no
L004,P2306,8,violin,65,yes
L004,P21327,8,violin,66,yes
L004,P14278,8,violin,67,yes
L004,P1533,8,violin,68,yes
L004,P9744,8,violin,69,no
L004,P21510,8,violin,70,no
L004,P7285,8,violin,71,yes
L004,P8542,8,violin,72,yes
L004,P4166,8,violin,73,no
L004,P6395,8,violin,74,no
L004,P3693,8,violin,75,yes
L004,P13582,8,violin,76,yes
L004,P1567,8,violin,77,no
L004,P5629,8,violin,78,yes
L004,P12269,8,violin,79,yes
L004,P8664,8,violin,80,no
L004,P9957,8,violin,81,no
L004,P4230,8,violin,82,no
L004,P1846,8,violin,83,yes
L004,P1201,8,violin,84,yes
L004,P1600,8,violin,85,no
L004,P3830,8,violin,86,no
L004,P13002,8,violin,87,no
L004,P17923,8,violin,88,no
L004,P2513,8,violin,89,no
L004,P5272,8,violin,90,yes
L004,P14139,8,violin,91,yes
L004,P5269,8,violin,92,yes
L004,P20587,8,violin,93,no
L004,P6725,8,violin,94,yes
L004,P12154,8,violin,95,yes
L004,P7691,8,violin,96,yes
L004,P077,8,violin,97,yes
L004,P5720,8,violin,98,yes
L004,P2647,8,violin,99,yes
L004,P12801,8,violin,100,yes
L004,P14936,8,violin,101,no
L004,P4403,8,violin,102,yes
L004,P8643,8,violin,103,no
L004,P19723,8,violin,104,yes
L004,P14698,8,violin,105,yes
L004,P14336,8,violin,106,yes
L004,P18171,8,violin,107,yes
L004,P18637,8,violin,108,no
L004,P7556,8,violin,109,no
L004,P10872,8,violin,110,yes
L004,P5776,8,violin,111,no
L004,P8852,8,violin,112,yes
L004,P17743,8,violin,113,yes
L004,P11814,8,violin,114,no
L004,P113,8,violin,115,yes
L004,P9743,8,violin,116,yes
L004,P19039,8,violin,117,no
L004,P16129,8,violin,118,no
L004,P908,8,violin,119,yes
L004,P19473,8,violin,120,no
L005,P5015,8,boxplot,1,yes
L005,P20009,8,boxplot,2,no
L005,P16829,8,boxplot,3,no
L005,P2361,8,boxplot,4,yes
L005,P16431,8,boxplot,5,no
L005,P9501,8,boxplot,6,yes
L005,P5366,8,boxplot,7,no
L005,P19515,8,boxplot,8,yes
L005,P15052,8,boxplot,9,yes
L005,P21427,8,boxplot,10,yes
L005,P11537,8,boxplot,11,yes
L005,P4024,8,boxplot,12,yes
L005,P20717,8,boxplot,13,yes
L005,P16052,8,boxplot,14,yes
L005,P3305,8,boxplot,15,no
L005,P11446,8,boxplot,16,no
L005,P16016,8,boxplot,17,yes
L005,P1710,8,boxplot,18,yes
L005,P13346,8,boxplot,19,no
L005,P881,8,boxplot,20,yes
L005,P2699,8,boxplot,21,no
L005,P13713,8,boxplot,22,no
L005,P1934,8,boxplot,23,no
L005,P5542,8,boxplot,24,no
L005,P15074,8,boxplot,25,yes
L005,P129,8,boxplot,26,no
L005,P16915,8,boxplot,27,no
L005,P20740,8,boxplot,28,yes
L005,P18832,8,boxplot,29,no
L005,P11504,8,boxplot,30,no
L005,P13930,8,boxplot,31,yes
L005,P8013,8,boxplot,32,yes
L005,P3010,8,boxplot,33,no
L005,P16383,8,boxplot,34,no
L005,P6168,8,boxplot,35,yes
L005,P2679,8,boxplot,36,no
L005,P13576,8,boxplot,37,no
L005,P15614,8,boxplot,38,no
L005,P5448,8,boxplot,39,yes
L005,P3992,8,boxplot,40,yes
L005,P14824,8,boxplot,41,no
L005,P5118,8,boxplot,42,no
L005,P17149,8,boxplot,43,yes
L005,P19608,8,boxplot,44,yes
L005,P11728,8,boxplot,45,yes
L005,P12454,8,boxplot,46,no
L005,P2075,8,boxplot,47,yes
L005,P9518,8,boxplot,48,yes
L005,P15699,8,boxplot,49,no
L005,P16868,8,boxplot,50,yes
L005,P5660,8,boxplot,51,no
L005,P15933,8,boxplot,52,no
L005,P15350,8,boxplot,53,no
L005,P18478,8,boxplot,54,no
L005,P468,8,boxplot,55,no
L005,P9958,8,boxplot,56,yes
L005,P13229,8,boxplot,57,yes
L005,P10646,8,boxplot,58,yes
L005,P5149,8,boxplot,59,no
L005,P11354,8,boxplot,60,no
L005,P5398,8,boxplot,61,no
L005,P3730,8,boxplot,62,yes
L005,P20036,8,boxplot,63,yes
L005,P17851,8,boxplot,64,no
L005,P20503,8,boxplot,65,yes
L005,P5360,8,boxplot,66,yes
L005,P8559,8,boxplot,67,no
L005,P10689,8,boxplot,68,no
L005,P1793,8,boxplot,69,no
L005,P9429,8,boxplot,70,yes
L005,P21100,8,boxplot,71,no
L005,P8307,8,boxplot,72,yes
L005,P5034,8,boxplot,73,no
L005,P1327,8,boxplot,74,no
L005,P4005,8,boxplot,75,yes
L005,P6362,8,boxplot,76,yes
L005,P8757,8,boxplot,77,yes
L005,P17912,8,boxplot,78,no
L005,P1865,8,boxplot,79,yes
L005,P535,8,boxplot,80,no
L005,P5483,8,boxplot,81,yes
L005,P13621,8,boxplot,82,yes
L005,P10252,8,boxplot,83,no
L005,P8162,8,boxplot,84,no
L005,P16881,8,boxplot,85,yes
L005,P20130,8,boxplot,86,no
L005,P4764,8,boxplot,87,no
L005,P5844,8,boxplot,88,no
L005,P21290,8,boxplot,89,no
L005,P19715,8,boxplot,90,yes
L005,P12178,8,boxplot,91,no
L005,P3856,8,boxplot,92,yes
L005,P9630,8,boxplot,93,no
L005,P14020,8,boxplot,94,no
L005,P9264,8,boxplot,95,yes
L005,P11138,8,boxplot,96,yes
L005,P20293,8,boxplot,97,no
L005,P15739,8,boxplot,98,no
L005,P11857,8,boxplot,99,yes
L005,P15389,8,boxplot,100,yes
L005,P14409,8,boxplot,101,yes
L005,P11951,8,boxplot,102,yes
L005,P14780,8,boxplot,103,no
L005,P4624,8,boxplot,104,yes
L005,P3177,8,boxplot,105,no
L005,P8883,8,boxplot,106,yes
L005,P2480,8,boxplot,107,yes
L005,P12651,8,boxplot,108,yes
L005,P13329,8,boxplot,109,no
L005,P18353,8,boxplot,110,yes
L005,P5933,8,boxplot,111,no
L005,P17449,8,boxplot,112,no
L005,P13614,8,boxplot,113,yes
L005,P3266,8,boxplot,114,no
L005,P9898,8,boxplot,115,yes
L005,P2879,8,boxplot,116,yes
L005,P9440,8,boxplot,117,yes
L005,P3036,8,boxplot,118,yes
L005,P2291,8,boxplot,119,yes
L005,P14793,8,boxplot,120,yes
L006,P1588,8,dotplot,1,yes
L006,P10293,8,dotplot,2,yes
L006,P14354,8,dotplot,3,yes
L006,P15861,8,dotplot,4,yes
L006,P17424,8,dotplot,5,yes
L006,P6455,8,dotplot,6,yes
L006,P5564,8,dotplot,7,yes
L006,P21147,8,dotplot,8,no
L006,P13553,8,dotplot,9,yes
L006,P6315,8,dotplot,10,yes
L006,P3968,8,dotplot,11,yes
L006,P13266,8,dotplot,12,yes
L006,P3700,8,dotplot,13,yes
L006,P2900,8,dotplot,14,no
L006,P14786,8,dotplot,15,yes
L006,P3736,8,dotplot,16,yes
L006,P14416,8,dotplot,17,yes
L006,P21328,8,dotplot,18,yes
L006,P9601,8,dotplot,19,no
L006,P7032,8,dotplot,20,yes
L006,P19812,8,dotplot,21,yes
L006,P9216,8,dotplot,22,yes
L006,P11054,8,dotplot,23,yes
L006,P17613,8,dotplot,24,yes
L006,P2616,8,dotplot,25,yes
L006,P20055,8,dotplot,26,yes
L006,P19819,8,dotplot,27,no
L006,P16158,8,dotplot,28,no
L006,P3215,8,dotplot,29,yes
L006,P5604,8,dotplot,30,yes
L006,P15333,8,dotplot,31,yes
L006,P21505,8,dotplot,32,yes
L006,P12587,8,dotplot,33,yes
L006,P8387,8,dotplot,34,yes
L006,P12075,8,dotplot,35,yes
L006,P17505,8,dotplot,36,no
L006,P16000,8,dotplot,37,no
L006,P21411,8,dotplot,38,yes
L006,P2877,8,dotplot,39,yes
L006,P6778,8,dotplot,40,yes
L006,P084,8,dotplot,41,yes
L006,P3975,8,dotplot,42,no
L006,P3781,8,dotplot,43,yes
L006,P17283,8,dotplot,44,no
L006,P3100,8,dotplot,45,yes
L006,P8081,8,dotplot,46,yes
L006,P7024,8,dotplot,47,no
L006,P18500,8,dotplot,48,yes
L006,P10007,8,dotplot,49,no
L006,P1559,8,dotplot,50,no
L006,P679,8,dotplot,51,no
L006,P11780,8,dotplot,52,yes
L006,P15921,8,dotplot,53,no
L006,P17380,8,dotplot,54,yes
L006,P14032,8,dotplot,55,yes
L006,P16731,8,dotplot,56,yes
L006,P9798,8,dotplot,57,no
L006,P4325,8,dotplot,58,no
L006,P5824,8,dotplot,59,no
L006,P14440,8,dotplot,60,yes
L006,P13205,8,dotplot,61,yes
L006,P19346,8,dotplot,62,no
L006,P7944,8,dotplot,63,no
L006,P9942,8,dotplot,64,yes
L006,P6834,8,dotplot,65,no
L006,P8788,8,dotplot,66,yes
L006,P6714,8,dotplot,67,no
L006,P12121,8,dotplot,68,yes
L006,P7940,8,dotplot,69,yes
L006,P14693,8,dotplot,70,no
L006,P903,8,dotplot,71,no
L006,P18113,8,dotplot,72,yes
L006,P21193,8,dotplot,73,yes
L006,P19013,8,dotplot,74,yes
L006,P2031,8,dotplot,75,no
L006,P721,8,dotplot,76,no
L006,P7423,8,dotplot,77,no
L006,P21423,8,dotplot,78,no
L006,P20650,8,dotplot,79,yes
L006,P13915,8,dotplot,80,yes
L006,P19523,8,dotplot,81,yes
L006,P19514,8,dotplot,82,no
L006,P16287,8,dotplot,83,no
L006,P5295,8,dotplot,84,no
L006,P12415,8,dotplot,85,yes
L006,P11879,8,dotplot,86,no
L006,P8984,8,dotplot,87,yes
L006,P4790,8,dotplot,88,no
L006,P4737,8,dotplot,89,yes
L006,P18921,8,dotplot,90,yes
L006,P12238,8,dotplot,91,yes
L006,P2456,8,dotplot,92,yes
L006,P18417,8,dotplot,93,no
L006,P8924,8,dotplot,94,yes
L006,P12236,8,dotplot,95,yes
L006,P2192,8,dotplot,96,no
L006,P17432,8,dotplot,97,yes
L006,P11348,8,dotplot,98,yes
L006,P9884,8,dotplot,99,yes
L006,P21109,8,dotplot,100,yes
L006,P15577,8,dotplot,101,yes
L006,P13729,8,dotplot,102,yes
L006,P21565,8,dotplot,103,no
L006,P14126,8,dotplot,104,no
L006,P18079,8,dotplot,105,no
L006,P3342,8,dotplot,106,yes
L006,P2794,8,dotplot,107,yes
L006,P20369,8,dotplot,108,yes
L006,P18231,8,dotplot,109,no
L006,P5590,8,dotplot,110,no
L006,P11060,8,dotplot,111,yes
L006,P16457,8,dotplot,112,no
L006,P18631,8,dotplot,113,yes
L006,P5771,8,dotplot,114,yes
L006,P3474,8,dotplot,115,yes
L006,P17684,8,dotplot,116,yes
L006,P18072,8,dotplot,117,yes
L006,P21106,8,dotplot,118,no
L006,P12714,8,dotplot,119,yes
L006,P3882,8,dotplot,120,yes
L007,P2682,8,violin,1,yes
L007,P18041,8,violin,2,no
L007,P5695,8,violin,3,yes
L007,P4532,8,violin,4,yes
L007,P11344,8,violin,5,yes
L007,P6684,8,violin,6,no
L007,P21155,8,violin,7,no
L007,P7100,8,violin,8,yes
L007,P19938,8,violin,9,no
L007,P20104,8,violin,10,no
L007,P2687,8,violin,11,no
L007,P8568,8,violin,12,no
L007,P3810,8,violin,13,no
L007,P14977,8,violin,14,no
L007,P2864,8,violin,15,yes
L007,P4549,8,violin,16,yes
L007,P15424,8,violin,17,yes
L007,P2300,8,violin,18,yes
L007,P1417,8,violin,19,no
L007,P12799,8,violin,20,no
L007,P118,8,violin,21,no
L007,P1929,8,violin,22,yes
L007,P6569,8,violin,23,no
L007,P17145,8,violin,24,yes
L007,P21169,8,violin,25,no
L007,P6040,8,violin,26,yes
L007,P16307,8,violin,27,yes
L007,P8626,8,violin,28,yes
L007,P4734,8,violin,29,yes
L007,P3173,8,violin,30,yes
L007,P14764,8,violin,31,yes
L007,P4043,8,violin,32,yes
L007,P19793,8,violin,33,yes
L007,P14419,8,violin,34,yes
L007,P19603,8,violin,35,yes
L007,P3498,8,violin,36,no
L007,P13675,8,violin,37,yes
L007,P10242,8,violin,38,yes
L007,P8043,8,violin,39,no
L007,P893,8,violin,40,yes
L007,P13458,8,violin,41,no
L007,P3888,8,violin,42,yes
L007,P6810,8,violin,43,no
L007,P1359,8,violin,44,no
L007,P5308,8,violin,45,yes
L007,P9897,8,violin,46,yes
L007,P6782,8,violin,47,no
L007,P4445,8,violin,48,yes
L007,P13901,8,violin,49,yes
L007,P3663,8,violin,50,no
L007,P4183,8,violin,51,yes
L007,P18092,8,violin,52,yes
L007,P3796,8,violin,53,yes
L007,P16617,8,violin,54,no
L007,P21304,8,violin,55,yes
L007,P19701,8,violin,56,yes
L007,P6661,8,violin,57,no
L007,P5370,8,violin,58,no
L007,P9335,8,violin,59,yes
L007,P8244,8,violin,60,no
L007,P21011,8,violin,61,yes
L007,P17719,8,violin,62,yes
L007,P5016,8,violin,63,yes
L007,P8857,8,violin,64,no
